Date,Hinckley Reservoir Elevation,Hinckley Reservoir Comparison to Elevation Trigger1,Hinckley Reservoir Comparison to Normal Elevation2,Hinckley Reservoir Discharge,1920 Operating Diagram Release4,Hinckley Reservoir Inflow,Hinckley Reservoir 30-Day Running Average Inflow5,Wilmurt Streamgage Flow,Mohawk Valley Water Authority Withdrawal,Delta Reservoir Elevation,Delta Reservoir Discharge,Nine Mile Feeder Discharge
,(ft),(ft),(ft),(cfs)3,(cfs),(cfs),(cfs),(cfs),(cfs),(ft),(cfs),(cfs)
10/19/2012,1208.8,10.8,-1.3,736,730,1120,625,1020,30.2,,,
10/18/2012,1208.4,10.4,-1.6,612,610,637,613,491,34.8,542.5,177,40
10/17/2012,1208.4,10.4,-1.4,611,610,992,602,669,31,542.5,183,40
10/16/2012,1208.1,10.1,-1.7,615,610,1343,569,968,34.2,542.5,183,40
10/15/2012,1207.3,9.3,-2.5,613,610,1838,528,1230,32.2,542.3,193,40
10/14/2012,1206,7.8,-3.7,614,610,975,467,758,32.2,,,
10/13/2012,1205.7,7.3,-4.1,616,610,641,439,,33.6,,,
10/12/2012,1205.7,7.2,-4.2,609,610,634,422,393,32.4,541.5,175,40
10/11/2012,1205.7,7,-4.3,554,550,411,406,319,30.9,541.5,170,40
10/10/2012,1205.9,7,-4.1,550,550,407,396,256,33.7,541.5,172,40
10/9/2012,1206,6.9,-4,554,550,410,392,281,30.6,541.5,172,40
10/8/2012,1206.2,7,-3.8,556,550,581,388,297,32.6,541.6,172,40
10/7/2012,1206.2,6.8,-3.8,554,550,409,373,273,31.8,,,
10/6/2012,1206.4,6.8,-3.6,554,550,408,364,,33.7,,,
10/5/2012,1206.6,6.8,-3.6,555,550,580,355,369,31,541.9,175,40
10/4/2012,1206.6,6.7,-3.7,438,430,633,340,469,31.1,542,175,40
10/3/2012,1206.4,6.3,-4,352,430,885,317,582,31.5,541.9,175,40
10/2/2012,1205.9,5.6,-4.6,278,430,1134,292,895,32.1,542,177,40
10/1/2012,1205,4.4,-5.6,273,430,1430,253,1330,31.3,542,177,40
9/30/2012,1203.7,3.1,-6.9,271,430,296,209,277,30.4,,,
9/29/2012,1203.7,2.9,-7,271,430,299,204,,32.8,,,
9/28/2012,1203.7,2.7,-6.9,271,430,140,198,154,35.2,542.2,170,40
9/27/2012,1203.8,2.6,-6.6,272,400,300,198,176,31.3,542.3,170,40
9/26/2012,1203.8,2.4,-6.6,272,400,300,189,163,30.1,542.4,172,40
9/25/2012,1203.8,2.4,-6.8,273,400,141,188,165,31.1,542.3,172,40
9/24/2012,1204,2.3,-6.7,273,400,301,185,191,31.9,542.4,172,40
9/23/2012,1204,2.1,-6.8,273,400,301,178,196,31.8,,,
9/22/2012,1204,1.9,-6.7,273,400,301,170,,32,,,
9/21/2012,1204,1.8,-6.7,273,400,301,163,241,31.8,542.4,172,40
9/20/2012,1204,1.6,-6.7,272,400,619,161,391,29.9,542.4,172,40
