Date,Hinckley Reservoir Elevation,Hinckley Reservoir Comparison to Elevation Trigger1,Hinckley Reservoir Comparison to Normal Elevation2,Hinckley Reservoir Discharge,1920 Operating Diagram Release4,Hinckley Reservoir Inflow,Hinckley Reservoir 30-Day Running Average Inflow5,Wilmurt Streamgage Flow,Mohawk Valley Water Authority Withdrawal,Delta Reservoir Elevation,Delta Reservoir Discharge,Nine Mile Feeder Discharge
,(ft),(ft),(ft),(cfs)3,(cfs),(cfs),(cfs),(cfs),(cfs),(ft),(cfs),(cfs)
2/11/2012,1218.6,,14.4,1133,1100,510,967,,34.4,,,
2/10/2012,1219.1,,14.5,1191,1100,612,971,376,34.5,543.6,588,0
2/9/2012,1219.6,,14.6,1027,1100,328,970,427,34,544,588,0
2/8/2012,1220.2,,14.8,1113,1100,431,979,,34.5,544.2,583,0
2/7/2012,1220.7,,14.9,1096,1100,662,984,,33.9,544.5,565,0
2/6/2012,1221.1,,15,1095,1100,795,984,,34.3,,,
2/5/2012,1221.3,,14.8,1098,1100,746,983,,34.3,,,
2/4/2012,1221.6,,14.9,1104,1100,1153,982,,33.9,,,
2/3/2012,1221.6,,14.7,1107,1100,1256,970,990,34,544.9,547,0
2/2/2012,1221.5,,14.4,1040,1030,1663,951,1350,34.4,,,
2/1/2012,1221,,13.6,1034,1030,1172,932,,33.8,544.1,556,0
1/31/2012,1221,,13.4,1037,1030,1156,939,881,34,544.2,538,0
1/30/2012,1220.9,,13,1047,1030,1638,935,1210,33.7,544.2,542,0
1/29/2012,1220.4,,12.3,1057,1030,2549,913,1930,33.8,,,
1/28/2012,1219.2,,11,1043,1030,4101,862,,34.5,,,
1/27/2012,1216.7,,8.3,1037,1030,1843,764,1770,34.6,541.3,630,0
1/26/2012,1216,,7.6,1084,1080,722,749,523,34.7,,,
1/25/2012,1216.4,,7.8,1085,1080,801,754,615,34.4,541.3,538,0
1/24/2012,1216.6,,7.9,1081,1080,589,759,533,35,541,547,0
1/23/2012,1217.1,,8.5,1086,1080,438,769,355,35.1,541,529,0
1/22/2012,1217.6,,9,1079,1080,400,798,,35.3,,,
1/21/2012,1218.2,,9.3,1092,1080,524,841,,35.2,,,
1/20/2012,1218.7,,9.6,1087,1080,645,875,456,34.9,541.8,533,0
1/19/2012,1219.1,,9.8,1105,1100,696,884,,53.2,541.8,538,0
1/18/2012,1219.5,,10.1,1104,1100,716,891,521,33.6,541.8,547,0
1/17/2012,1219.8,,10.1,1107,1100,557,897,362,33.6,541.8,533,0
1/16/2012,1220.2,,10.4,1103,1100,400,915,,33.6,,,
1/15/2012,1220.8,,10.7,1101,1100,491,957,,32.9,,,
1/14/2012,1221.3,,10.9,1106,1100,653,1009,,33,,,
1/13/2012,1221.7,,11,1103,1100,774,1017,409,32.5,,,
1/12/2012,1222,,11.1,1096,1100,638,1014,350,33.1,540.6,222,0
1/11/2012,1222.3,,11.1,1102,1100,577,1011,362,33.8,540.5,204,0
1/10/2012,1222.8,,11.3,1105,1100,588,1011,378,34.4,540.4,210,0
1/9/2012,1223.2,,11.5,1103,1100,582,1018,382,34.3,540.4,216,0
1/8/2012,1223.6,,11.7,1105,1100,659,1030,443,33.9,,,
1/7/2012,1223.9,,11.9,1102,1100,771,1044,,33.8,,,
1/6/2012,1224.2,,12,1105,1080,733,1061,531,33.5,540.7,533,0
1/5/2012,1224.5,,12.2,1082,1080,788,1078,554,21.6,,,
1/4/2012,1224.7,,12.4,1083,1080,694,1093,,30.1,541,529,0
1/3/2012,1225,,12.7,1114,1080,1071,1100,,34.3,,,
1/2/2012,1225.1,,12.8,1096,1080,1385,1098,1030,33.3,,,
1/1/2012,1224.9,,12.6,1086,1080,1030,1096,717,33.2,,,
