Date,Hinckley Reservoir Elevation,Hinckley Reservoir Comparison to Elevation Trigger1,Hinckley Reservoir Comparison to Normal Elevation2,Hinckley Reservoir Discharge,1920 Operating Diagram Release4,Hinckley Reservoir Inflow,Hinckley Reservoir 30-Day Running Average Inflow5,Wilmurt Streamgage Flow,Mohawk Valley Water Authority Withdrawal,Delta Reservoir Elevation,Delta Reservoir Discharge,Nine Mile Feeder Discharge,,,
,(ft),(ft),(ft),(cfs)3,(cfs),(cfs),(cfs),(cfs),(cfs),(ft),(cfs),(cfs),,,
12/31/2013,1219.13,21.13,6.63,1404,1200,465,1066,412,33.99,,,,,,
12/30/2013,1219.91,21.91,7.51,1373,1200,507,1083,501,35.59,,,,,,
12/29/2013,1220.62,22.62,8.12,1376,1060,685,1094,555,36.42,,,,,,
12/28/2013,1221.18,23.18,8.48,845,1060,210,1112,630,36.88,,,,,,
12/27/2013,1221.69,23.69,8.69,848,1060,270,1187,736,34.19,,,,,,
12/26/2013,1222.15,24.15,9.05,849,1060,552,1243,912,36.41,,,,,,
12/25/2013,1222.4,24.4,9.1,849,870,838,1251,1200,37.51,,,,,,
12/24/2013,1222.42,24.42,8.92,1416,870,3042,1245,2190,37.33,,,,,,
12/23/2013,1221.18,23.18,7.68,1079,870,5987,1172,4200,33.77,,,,,,
12/22/2013,1217.2,19.2,3.6,719,940,6025,1012,4870,35.5,,,,,,
12/21/2013,1212.51,14.51,-0.99,711,940,1253,844,,37.01,,,,,,
12/20/2013,1212.02,14.02,-1.58,1150,940,414,840,363,34.35,,,,,,
12/19/2013,1212.73,14.73,-1.17,1425,940,302,877,373,36.57,,,,,,
12/18/2013,1213.78,15.78,-0.22,1433,1370,258,956,465,35.23,,,,,,
12/17/2013,1214.85,16.85,0.65,1436,1370,262,1032,424,34,544.3,1100,0,,,
12/16/2013,1215.9,17.9,1.6,1544,1370,372,1046,395,33.89,544.1,1090,0,,,
12/15/2013,1216.93,18.93,2.53,1604,1400,378,1055,390,34.68,,,,,,
12/14/2013,1217.98,19.98,3.48,1615,1400,424,1064,,35.18,,,,,,
12/13/2013,1218.98,20.98,4.48,1590,1400,436,1077,363,34.53,545.9,1020,0,,,
12/12/2013,1219.93,21.93,5.63,1122,1400,471,1089,368,33.6,546.5,1030,0,,,
12/11/2013,1220.47,22.47,6.37,692,1400,590,1107,422,32.8,547.1,1040,0,,,
12/10/2013,1220.57,22.57,6.57,692,1400,682,1123,516,34.65,547.6,1050,0,,,
12/9/2013,1220.59,22.59,6.59,1224,1400,844,1138,585,32.9,548.1,1050,0,,,
12/8/2013,1220.91,22.91,7.01,1592,1400,991,1154,716,33.46,,,,,,
12/7/2013,1221.4,23.4,7.6,1595,1400,1366,1182,,33.45,,,,,,
12/6/2013,1221.59,23.59,7.89,1596,1400,1271,1188,917,33.79,549.1,1100,0,,,
12/5/2013,1221.86,23.86,8.26,1423,1400,684,1175,483,34.56,549.4,1070,0,,,
12/4/2013,1222.45,24.45,8.65,1596,1400,688,1185,501,34.22,549.9,479,0,,,
12/3/2013,1223.16,25.16,9.16,1588,1400,766,1201,580,35.56,550,479,0,,,
12/2/2013,1223.79,25.79,9.69,1594,1400,960,1254,667,32.28,550.1,489,0,,,
12/1/2013,1224.28,26.28,10.28,1601,1400,962,1405,756,33.75,,,,,,
11/30/2013,1224.77,26.77,10.97,1675,1400,863,1625,775,32.46,,,,,,
11/29/2013,1225.38,27.38,11.78,2098,1400,1202,1618,1110,33.54,550.7,932,0,,,
11/28/2013,1226.04,28.04,12.64,2159,1400,2485,1595,1830,33.73,,,,,,
11/27/2013,1225.82,27.82,12.72,1104,1400,1935,1532,1680,34.44,550.2,749,0,,,
11/26/2013,1225.13,27.13,12.13,753,1400,807,1491,605,35.08,549.9,474,0,,,
11/25/2013,1225.11,27.11,12.31,813,1400,633,1485,613,30.51,550.1,474,0,,,
11/24/2013,1225.26,27.26,12.56,947,1400,867,1488,808,33.79,,,,,,
11/23/2013,1225.33,27.33,12.63,863,1400,1185,1484,1020,33.72,,,,,,
11/22/2013,1225.11,27.11,12.61,771,1400,992,1468,834,33.18,550.2,533,0,,,
11/21/2013,1224.96,26.96,12.66,708,1400,1127,1459,923,33.33,550.4,645,0,,,
11/20/2013,1224.67,26.67,12.67,715,1400,1527,1450,1290,33.98,550.6,817,0,,,
11/19/2013,1224.08,26.08,12.18,1015,1400,2658,1437,2070,33.1,550.7,1040,0,,,
11/18/2013,1222.86,24.86,11.06,1612,1400,2558,1382,2150,33.61,550.2,630,0,,,
11/17/2013,1222.15,24.15,10.35,1096,1400,672,1330,461,33.25,,,,,,
11/16/2013,1222.5,24.5,10.9,710,1400,635,1337,442,33.6,,,,,,
11/15/2013,1222.57,24.57,11.07,710,1400,667,1329,477,34.33,549.9,515,0,,,
11/14/2013,1222.62,24.62,11.12,1130,1400,799,1315,531,32.96,550.1,520,0,,,
11/13/2013,1222.89,24.89,11.29,1621,1400,802,1299,616,34.38,550.2,551,0,,,
11/12/2013,1223.52,25.52,12.02,1613,1400,1015,1283,763,33.33,550.3,621,0,,,
11/11/2013,1223.99,25.99,12.59,1613,1400,1076,1260,869,32.3,,,,,,
11/10/2013,1224.4,26.4,13.1,1606,1400,1131,1239,861,33.62,,,,,,
11/9/2013,1224.77,26.77,13.67,1611,1400,1299,1219,1050,33.73,,,,,,
11/8/2013,1225.01,27.01,14.31,1062,1400,1845,1202,1440,3294,550.6,372,0,,,
11/7/2013,1224.45,26.45,13.65,875,1400,1552,1187,1100,34.15,550,654,0,,,
11/6/2013,1223.96,25.96,13.36,1618,910,883,1218,654,34.4,550.2,659,0,,,
11/5/2013,1224.52,26.52,14.02,1627,910,985,1234,814,32.86,550.5,888,0,,,
11/4/2013,1225.01,27.01,14.51,1456,910,1143,1216,1100,33.46,550.9,734,0,,,
11/3/2013,1225.26,27.26,14.96,946,880,2367,1183,1710,32.09,,,,,,
11/2/2013,1224.18,26.18,13.78,915,880,5488,1108,3560,32.66,,,,,,
11/1/2013,1220.69,22.69,10.29,441,880,7570,929,6460,32.74,550.5,1110,0,,,
10/31/2013,1214.73,16.73,4.23,203,880,638,680,487,32.4,549.1,175,0,,,
10/30/2013,1214.36,16.36,3.76,203,850,526,662,438,33.6,549,175,0,,,
10/29/2013,1214.09,16.09,3.39,202,850,603,650,488,33.68,549,175,0,,,
10/28/2013,1213.73,15.73,2.93,201,850,681,637,541,32.63,548.8,175,0,,,
10/27/2013,1213.31,15.31,2.61,200,810,650,619,514,32.74,,,,,,
10/26/2013,1212.92,14.92,2.32,199,810,724,604,503,31.39,,,,,,
10/25/2013,1212.46,14.46,1.86,198,810,743,588,527,32.13,547.9,196,0,,,
10/24/2013,1211.97,13.97,1.47,197,810,711,569,520,36.31,547.4,170,0,,,
10/23/2013,1211.5,13.5,1,202,690,711,556,589,33.26,547.4,170,0,,,
10/22/2013,1211.04,13.04,0.54,208,690,862,544,678,32.72,547.3,172,0,,,
10/21/2013,1210.43,12.43,0.03,206,690,1122,528,887,33.31,547.2,172,0,,,
10/20/2013,1209.55,11.55,-0.65,204,610,1029,498,824,34.99,,,,,,
10/19/2013,1208.74,10.74,-1.36,202,610,989,471,650,31.15,,,,,,
10/18/2013,1207.96,9.96,-2.04,199,610,880,446,615,33.05,546.6,191,0,,,
10/17/2013,1207.28,9.28,-2.52,203,610,390,424,229,35.15,546.4,175,0,,,
10/16/2013,1207.11,9.11,-2.69,210,540,258,420,194,33.8,546.4,167,0,,,
10/15/2013,1207.08,9.08,-2.72,210,540,304,424,204,31.1,546.4,167,0,,,
10/14/2013,1207.01,8.81,-2.69,210,540,327,426,220,32.92,546.5,167,0,,,
10/13/2013,1206.91,8.51,-2.89,210,460,327,433,246,33.92,,,,,,
10/12/2013,1206.81,8.31,-3.09,209,460,440,448,290,35.57,,,,,,
10/11/2013,1206.59,7.89,-3.41,209,460,552,463,362,34.33,546.5,170,0,,,
10/10/2013,1206.25,7.35,-3.75,207,460,771,462,488,32.04,546.5,170,0,,,
10/9/2013,1205.67,6.57,-4.33,307,450,1408,444,753,32.62,546.4,183,16,,,
10/8/2013,1204.47,5.27,-5.53,433,450,2469,404,1330,30.96,546.2,231,16,,,
10/7/2013,1202.13,2.72,-7.88,452,450,1377,328,693,30.33,545.4,210,16,,,
10/6/2013,1201.03,1.43,-8.97,491,480,437,290,188,32.05,,,,,,
10/5/2013,1201.12,1.32,-9.08,1028,480,152,283,151,30.93,,,,,,
10/4/2013,1202.22,2.32,-8.08,1082,480,115,286,115,31.73,,,,,,
10/3/2013,1203.4,3.3,-7,764,480,132,293,95,33.35,,,,,,
10/2/2013,1204.15,3.85,-6.35,1384,500,75,303,99,32.1,547.3,1240,16,,,
10/1/2013,1205.64,5.14,-4.86,574,500,119,313,102,31.59,548,188,16,,,
9/30/2013,1206.16,5.56,-4.44,492,500,162,321,106,31.58,548.1,188,16,,,
9/29/2013,1206.55,5.75,-4.15,497,500,205,327,111,30.85,,,,,,
9/28/2013,1206.89,5.89,-3.71,498,500,157,330,,30.86,,,,,,
9/27/2013,1207.28,6.08,-3.22,496,500,198,333,123,32.05,548.3,188,16,,,
9/26/2013,1207.62,6.22,-2.88,498,500,221,333,134,31.82,548.4,188,16,,,
9/25/2013,1207.94,6.44,-2.66,522,520,177,333,149,31.19,548.4,188,16,,,
9/24/2013,1208.3,6.6,-2.4,524,520,314,333,175,33.46,548.5,191,16,,,
9/23/2013,1208.55,6.65,-2.25,525,520,361,328,219,32.14,548.5,191,16,,,
9/22/2013,1208.74,6.64,-1.96,610,540,373,321,227,32.88,,,,,,
9/21/2013,1209.01,6.81,-1.69,603,540,243,312,,34.76,,,,,,
9/20/2013,1209.4,7,-1.3,609,540,220,312,130,36.17,548.5,188,16,,,
9/19/2013,1209.82,7.22,-0.78,613,540,220,308,144,33.61,548.5,191,16,,,
9/18/2013,1210.23,7.43,-0.37,518,520,221,307,162,33.94,548.6,191,16,,,
9/17/2013,1210.55,7.65,-0.15,522,520,273,305,186,32.1,548.7,191,16,,,
9/16/2013,1210.82,7.72,0.12,522,520,373,303,209,33.58,548.8,191,16,,,
9/15/2013,1210.99,7.69,0.19,467,470,368,298,235,31.56,,,,,,
