Date,Hinckley Reservoir Elevation,Hinckley Reservoir Comparison to Elevation Trigger1,Hinckley Reservoir Comparison to Normal Elevation2,Hinckley Reservoir Discharge,1920 Operating Diagram Release4,Hinckley Reservoir Inflow,Hinckley Reservoir 30-Day Running Average Inflow5,Wilmurt Streamgage Flow,Mohawk Valley Water Authority Withdrawal,Delta Reservoir Elevation,Delta Reservoir Discharge,Nine Mile Feeder Discharge,,,
,(ft),(ft),(ft),(cfs)3,(cfs),(cfs),(cfs),(cfs),(cfs),(ft),(cfs),(cfs),,,
12/31/2011,1224.9,26.9,12.4,1084,1080,998,1118,#N/A,33.1,#N/A,#N/A,#N/A,,,
12/30/2011,1225.0,27.0,12.6,1104,1080,1005,1160,703,33.3,541.0,529,0,,,
12/29/2011,1225.1,27.1,12.6,1100,1050,1161,1206,827,33.0,541.1,538,0,,,
12/28/2011,1225.1,27.1,12.4,1061,1050,1389,1218,1070,32.8,540.9,474,0,,,
12/27/2011,1224.9,26.9,11.9,1058,1050,892,1215,560,32.9,540.8,454,0,,,
12/26/2011,1225.0,27.0,11.9,1062,1050,949,1223,627,33.2,#N/A,#N/A,#N/A,,,
12/25/2011,1225.1,27.1,11.8,1132,1050,886,1231,651,33.1,#N/A,#N/A,#N/A,,,
12/24/2011,1225.3,27.3,11.8,1269,1050,1290,1245,#N/A,33.1,#N/A,#N/A,#N/A,,,
12/23/2011,1225.3,27.3,11.8,1149,1050,1717,1265,1230,33.0,540.9,1720,0,,,
12/22/2011,1224.9,26.9,11.3,1055,1050,1540,1267,1250,33.2,541.7,1720,0,,,
12/21/2011,1224.5,26.5,11.0,1057,1050,906,1242,570,33.3,542.4,1710,0,,,
12/20/2011,1224.7,26.7,11.1,1052,1050,914,1242,619,33.3,543.5,1730,0,,,
12/19/2011,1224.8,26.8,10.9,1052,1050,900,1238,656,32.7,544.5,1740,0,,,
12/18/2011,1224.9,26.9,10.9,1049,1050,1083,1234,758,31.9,#N/A,#N/A,#N/A,,,
12/17/2011,1224.9,26.9,10.7,1058,1050,1675,1233,#N/A,31.9,#N/A,#N/A,#N/A,,,
12/16/2011,1224.5,26.5,10.2,1058,1050,2023,1216,1670,33.4,546.9,1790,0,,,
12/15/2011,1223.8,25.8,9.4,1034,1030,898,1191,530,34.2,547.1,1770,0,,,
12/14/2011,1223.9,25.9,9.4,1034,1030,701,1203,441,33.1,548.1,1780,0,,,
12/13/2011,1224.1,26.1,9.6,1034,1030,542,1204,404,32.6,549.1,1790,0,,,
12/12/2011,1224.5,26.5,10.2,1033,1030,577,1206,420,32.9,549.9,579,0,,,
12/11/2011,1224.9,26.9,10.8,1035,1030,803,1212,505,32.9,#N/A,#N/A,#N/A,,,
12/10/2011,1225.1,27.1,11.1,1094,1030,928,1211,#N/A,32.9,#N/A,#N/A,#N/A,,,
12/9/2011,1225.2,27.2,11.2,1224,1030,1071,1198,687,32.6,550.6,372,0,,,
12/8/2011,1225.3,27.3,11.4,1286,1000,1307,1179,860,32.3,550.6,430,0,,,
12/7/2011,1225.3,27.3,11.5,1475,1000,1242,1155,1090,32.1,550.6,474,0,,,
12/6/2011,1225.2,27.2,11.5,1049,1000,1231,1133,923,32.2,550.6,368,0,,,
12/5/2011,1225.1,27.1,11.5,1094,1000,915,1112,658,#N/A,550.6,339,0,,,
12/4/2011,1225.2,27.2,11.4,1255,1000,1008,1101,757,#N/A,#N/A,#N/A,#N/A,,,
12/3/2011,1225.4,27.4,11.4,1481,1000,1327,1091,#N/A,#N/A,#N/A,#N/A,#N/A,,,
12/2/2011,1225.6,27.6,11.5,1543,1000,1685,1071,1330,#N/A,550.8,569,0,,,
12/1/2011,1225.5,27.5,11.5,1075,980,2242,1041,2070,#N/A,550.9,724,0,,,
11/30/2011,1224.6,26.6,10.8,981,980,2406,996,2430,#N/A,550.8,616,0,,,
11/29/2011,1223.6,25.6,10.0,985,980,1511,950,1370,#N/A,550.4,316,0,,,
11/28/2011,1223.2,25.2,9.8,992,980,1297,940,1130,#N/A,550.3,335,0,,,
11/27/2011,1223.0,25.0,9.9,994,980,1130,947,923,#N/A,#N/A,#N/A,#N/A,,,
11/26/2011,1222.9,24.9,9.9,988,980,1201,972,#N/A,#N/A,#N/A,#N/A,#N/A,,,
11/25/2011,1222.8,24.8,10.0,985,980,1299,988,804,#N/A,550.1,256,0,,,
11/24/2011,1222.5,24.5,9.8,992,990,1888,996,1030,#N/A,#N/A,#N/A,#N/A,,,
11/23/2011,1221.9,23.9,9.2,996,990,1781,984,962,#N/A,548.5,398,0,,,
11/22/2011,1221.3,23.3,8.8,992,990,776,974,493,#N/A,547.7,1110,0,,,
11/21/2011,1221.4,23.4,9.1,1002,990,923,1008,571,#N/A,548.2,1130,0,,,
11/20/2011,1221.5,23.5,9.5,994,990,790,1047,538,#N/A,#N/A,#N/A,#N/A,,,
11/19/2011,1221.7,23.7,9.8,993,990,787,1091,#N/A,#N/A,#N/A,#N/A,#N/A,,,
11/18/2011,1221.9,23.9,10.1,993,990,1052,1112,661,#N/A,548.9,231,0,,,
11/17/2011,1221.8,23.8,10.0,1005,1000,1140,1126,765,#N/A,548.8,231,0,,,
11/16/2011,1221.8,23.8,10.2,1009,1000,1281,1162,874,#N/A,548.8,231,0,,,
11/15/2011,1221.6,23.6,10.1,1011,1000,1270,1215,875,#N/A,548.7,263,0,,,
11/14/2011,1221.4,23.4,9.9,1010,1000,719,1276,437,#N/A,548.6,1080,0,,,
11/13/2011,1221.6,23.6,10.0,1006,1000,612,1346,454,#N/A,#N/A,#N/A,#N/A,,,
11/12/2011,1221.9,23.9,10.4,1012,1000,742,1351,#N/A,#N/A,#N/A,#N/A,#N/A,,,
11/11/2011,1222.2,24.2,10.8,1002,1000,795,1341,525,#N/A,#N/A,#N/A,#N/A,,,
11/10/2011,1222.3,24.3,11.0,1030,1000,541,1326,349,#N/A,550.2,210,0,,,
11/9/2011,1222.7,24.7,11.6,1001,1000,495,1321,341,#N/A,550.3,228,0,,,
11/8/2011,1223.1,25.1,12.4,1038,1000,580,1316,352,#N/A,550.3,249,0,,,
11/7/2011,1223.5,25.5,12.7,1014,1000,579,1311,361,#N/A,550.3,290,0,,,
11/6/2011,1223.8,25.8,13.2,1002,1000,595,1306,380,#N/A,#N/A,#N/A,#N/A,,,
11/5/2011,1224.2,26.2,13.7,1008,1000,607,1303,#N/A,#N/A,#N/A,#N/A,#N/A,,,
11/4/2011,1224.5,26.5,14.0,1006,1000,683,1303,453,32.2,550.5,228,0,,,
11/3/2011,1224.7,26.7,14.4,970,970,752,1304,488,32.3,550.5,243,0,,,
11/2/2011,1224.9,26.9,14.5,985,970,767,1308,532,31.8,550.5,259,0,,,
11/1/2011,1225.1,27.1,14.7,1063,970,883,1317,595,32.3,550.5,287,0,,,
10/31/2011,1225.2,27.2,14.7,1217,970,1041,1321,670,32.1,550.6,339,0,,,
10/30/2011,1225.4,27.4,14.8,1430,970,1214,1323,797,32.2,#N/A,#N/A,#N/A,,,
10/29/2011,1225.6,27.6,14.9,1672,970,1509,1328,#N/A,32.1,#N/A,#N/A,#N/A,,,
10/28/2011,1225.7,27.7,14.9,1763,970,1869,1304,1260,32.2,#N/A,#N/A,#N/A,,,
10/27/2011,1225.6,27.6,14.9,1539,940,1685,1265,1190,32.3,#N/A,#N/A,#N/A,,,
10/26/2011,1225.5,27.5,14.9,1520,940,1531,1228,1010,32.2,550.7,524,0,,,
10/25/2011,1225.6,27.6,15.0,1535,940,1533,1197,1140,32.0,550.7,504,0,,,
10/24/2011,1225.6,27.6,15.1,1663,940,1472,1176,980,32.4,550.7,430,0,,,
10/23/2011,1225.7,27.7,15.2,1918,940,1821,1157,1250,32.1,#N/A,#N/A,#N/A,,,
10/22/2011,1225.8,27.8,15.3,1968,940,2074,1123,#N/A,32.1,#N/A,#N/A,#N/A,,,
10/21/2011,1225.8,27.8,15.4,1694,940,2122,1074,1670,32.1,#N/A,#N/A,#N/A,,,
10/20/2011,1225.5,27.5,15.3,1242,900,1401,1021,1180,32.0,550.7,435,0,,,
10/19/2011,1225.4,27.4,15.3,1144,900,1490,992,1160,31.7,550.7,547,0,,,
10/18/2011,1225.1,27.1,15.1,918,900,2217,953,1730,31.9,#N/A,#N/A,#N/A,,,
10/17/2011,1224.2,26.2,14.4,902,900,2876,895,2600,31.8,550.9,833,0,,,
10/16/2011,1222.7,24.7,12.9,913,900,3094,815,2440,32.1,#N/A,#N/A,#N/A,,,
10/15/2011,1221.1,23.1,11.3,896,900,2806,733,#N/A,32.7,#N/A,#N/A,#N/A,,,
10/14/2011,1219.6,21.4,9.9,915,900,783,663,714,32.4,549.9,196,0,,,
10/13/2011,1219.7,21.3,9.9,918,900,433,657,277,34.9,549.8,196,0,,,
10/12/2011,1220.1,21.6,10.2,907,900,356,665,253,32.9,549.7,193,0,,,
10/11/2011,1220.5,21.8,10.5,905,900,362,684,271,32.5,549.8,193,0,,,
10/10/2011,1221.0,22.1,11.0,898,900,362,713,293,32.6,549.9,193,0,,,
10/9/2011,1221.4,22.3,11.4,906,900,429,779,320,32.6,#N/A,#N/A,#N/A,,,
10/8/2011,1221.8,22.6,11.8,904,900,436,924,#N/A,32.6,#N/A,#N/A,#N/A,,,
10/7/2011,1222.2,22.8,12.2,906,900,511,1177,393,32.4,550.0,193,0,,,
10/6/2011,1222.5,22.9,12.5,887,880,579,1267,464,32.8,550.0,196,0,,,
10/5/2011,1222.8,23.0,12.6,880,880,712,1385,558,32.2,550.0,199,0,,,
10/4/2011,1222.9,23.0,12.6,884,880,897,1393,656,32.7,550.0,204,0,,,
10/3/2011,1222.9,22.8,12.5,884,880,1037,1376,767,32.5,549.8,219,0,,,
10/2/2011,1222.8,22.5,12.3,879,880,981,1356,781,32.9,#N/A,#N/A,#N/A,,,
10/1/2011,1222.8,22.3,12.3,893,880,1110,1341,#N/A,32.8,#N/A,#N/A,#N/A,,,
9/30/2011,1222.6,22.0,12.0,900,880,1374,1335,1060,33.2,549.4,216,0,,,
9/29/2011,1222.3,21.5,11.6,860,850,774,1323,522,33.0,548.9,201,0,,,
9/28/2011,1222.4,21.4,11.8,854,850,704,1358,423,32.9,548.9,193,0,,,
9/27/2011,1222.5,21.3,12.0,858,850,566,1480,388,32.4,548.9,193,0,,,
9/26/2011,1222.8,21.4,12.3,858,850,617,1506,478,33.2,548.9,193,0,,,
9/25/2011,1223.0,21.5,12.4,856,850,897,1484,644,33.3,#N/A,#N/A,#N/A,,,
9/24/2011,1223.0,21.3,12.3,856,850,910,1461,704,33.4,#N/A,#N/A,#N/A,,,
9/23/2011,1222.9,21.0,12.1,865,850,790,1439,543,33.0,548.7,222,0,,,
9/22/2011,1223.0,20.9,12.3,861,850,618,1419,372,32.8,548.2,191,0,,,
9/21/2011,1223.2,21.0,12.5,855,850,521,1407,378,32.9,548.2,191,0,,,
9/20/2011,1223.5,21.1,12.8,849,850,526,1400,330,32.7,548.2,191,0,,,
9/19/2011,1223.8,21.2,13.2,855,850,334,1392,270,33.3,548.3,188,0,,,
9/18/2011,1224.2,21.4,13.6,854,850,461,1391,314,33.9,#N/A,#N/A,#N/A,,,
9/17/2011,1224.5,21.6,13.8,859,850,477,1390,373,33.1,#N/A,#N/A,#N/A,,,
9/16/2011,1224.8,21.7,14.1,856,850,645,1393,460,34.0,548.4,191,0,,,
9/15/2011,1225.0,21.7,14.2,763,760,711,1405,422,33.9,548.5,191,0,,,
9/14/2011,1225.0,21.5,14.1,779,760,607,1411,413,32.9,548.5,191,0,,,
9/13/2011,1225.2,21.6,14.3,933,760,666,1402,476,33.9,548.6,191,0,,,
9/12/2011,1225.4,21.6,14.5,1231,760,910,1388,605,33.8,548.6,191,0,,,
9/11/2011,1225.6,21.6,14.5,1837,760,1243,1368,747,33.6,#N/A,#N/A,#N/A,,,
9/10/2011,1226.1,21.9,14.8,2960,760,2348,1339,1300,33.2,#N/A,#N/A,#N/A,,,
,The Jarvis turbine release returned to the Operating Diagram discharge at about 1:30pm because of the reduced flood risk.,,,,,,,,,,,,,,
9/9/2011,1226.5,22.1,15.0,3647,760,4762,1282,3170,32.7,548.6,204,0,,,
9/8/2011,1225.9,21.4,14.1,1997,660,8038,1153,7380,33.3,548.1,273,0,,,
9/7/2011,1221.4,16.7,9.4,1807,660,3208,896,2730,33.0,546.6,193,0,,,
,The Jarvis turbine release was increased to its capability (1800 cfs) at 5pm to reduce the flood potential as the remnants of hurricane Lee approached.,,,,,,,,,,,,,,
9/6/2011,1220.3,15.4,8.1,1001,660,4113,803,3360,#N/A,546.5,196,0,,,
9/5/2011,1217.8,12.7,5.4,660,660,959,676,1070,34.3,#N/A,#N/A,#N/A,,,
9/4/2011,1217.6,12.4,5.0,665,660,378,651,244,34.4,#N/A,#N/A,#N/A,,,
9/3/2011,1217.8,12.4,5.1,662,660,444,643,287,34.7,#N/A,#N/A,#N/A,,,
9/2/2011,1218.0,12.4,5.1,661,660,548,633,367,34.0,546.6,185,0,,,
